epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6081081032752991,0.009999999776482582,0.9463838338851929,0.5882353186607361,0.8165402412414551
1,0.837837815284729,0.009999999776482582,0.5495991706848145,1.0,0.3503454923629761
2,0.8783783912658691,0.009999999776482582,0.28039130568504333,0.8823529481887817,0.24740877747535706
3,0.9054054021835327,0.009999999776482582,0.15775999426841736,0.8823529481887817,0.16753558814525604
4,0.9459459185600281,0.009999999776482582,0.10043457895517349,0.9411764740943909,0.14841242134571075
5,0.9729729890823364,0.009999999776482582,0.05018600448966026,0.9411764740943909,0.21622687578201294
6,0.9459459185600281,0.009999999776482582,0.12317973375320435,0.9411764740943909,0.19920361042022705
7,0.9594594836235046,0.009999999776482582,0.10717350989580154,0.9411764740943909,0.09839004278182983
8,0.9864864945411682,0.009999999776482582,0.06783823668956757,0.9411764740943909,0.1005735993385315
9,0.9594594836235046,0.009999999776482582,0.11593934893608093,0.9411764740943909,0.20546124875545502
10,0.9594594836235046,0.009999999776482582,0.08084465563297272,0.9411764740943909,0.12208174169063568
11,0.9324324131011963,0.009999999776482582,0.11959335952997208,0.9411764740943909,0.10469982773065567
12,0.9729729890823364,0.009999999776482582,0.0402609147131443,0.9411764740943909,0.14033526182174683
13,0.9594594836235046,0.009999999776482582,0.09089408814907074,0.9411764740943909,0.09380872547626495
