epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4767441749572754,9.999999747378752e-05,1.3888243436813354,0.6363636255264282,1.0053683519363403
1,0.5465116500854492,9.999999747378752e-05,1.0224354267120361,0.6363636255264282,0.9133629202842712
2,0.7209302186965942,9.999999747378752e-05,0.6818283796310425,0.6363636255264282,0.8063698410987854
3,0.6860465407371521,9.999999747378752e-05,0.6980722546577454,1.0,0.4793644845485687
4,0.8488371968269348,9.999999747378752e-05,0.41952386498451233,1.0,0.2862294912338257
5,0.8604651093482971,9.999999747378752e-05,0.4097895920276642,1.0,0.23244167864322662
6,0.8837209343910217,9.999999747378752e-05,0.27925509214401245,1.0,0.23516207933425903
7,0.8488371968269348,9.999999747378752e-05,0.366673082113266,1.0,0.23784762620925903
8,0.9069767594337463,9.999999747378752e-05,0.26994654536247253,0.9090909361839294,0.27155226469039917
9,0.9069767594337463,9.999999747378752e-05,0.25895702838897705,0.9090909361839294,0.23494014143943787
10,0.930232584476471,9.999999747378752e-05,0.2550240457057953,0.9090909361839294,0.20786644518375397
11,0.930232584476471,9.999999747378752e-05,0.19217424094676971,1.0,0.14201335608959198
12,0.895348846912384,9.999999747378752e-05,0.21128913760185242,1.0,0.10841016471385956
13,0.9534883499145508,9.999999747378752e-05,0.13904903829097748,1.0,0.09563937038183212
14,0.930232584476471,9.999999747378752e-05,0.18484747409820557,1.0,0.09138011932373047
15,0.930232584476471,9.999999747378752e-05,0.2105737328529358,1.0,0.0861506387591362
