epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5930232405662537,0.0010000000474974513,0.9247187376022339,0.9090909361839294,0.4591529071331024
1,0.8720930218696594,0.0010000000474974513,0.2905046343803406,1.0,0.22756299376487732
2,0.9418604373931885,0.0010000000474974513,0.21030592918395996,1.0,0.15008161962032318
3,0.9186046719551086,0.0010000000474974513,0.2093340903520584,0.9090909361839294,0.16755129396915436
4,0.9418604373931885,0.0010000000474974513,0.1927003711462021,0.8181818127632141,0.2121160477399826
5,0.9651162624359131,0.0010000000474974513,0.08856051415205002,0.9090909361839294,0.18274523317813873
6,1.0,0.0010000000474974513,0.02118864096701145,0.9090909361839294,0.16059137880802155
7,0.9651162624359131,0.0010000000474974513,0.09329916536808014,0.9090909361839294,0.13447974622249603
8,0.9767441749572754,0.0010000000474974513,0.046217091381549835,0.9090909361839294,0.1702890396118164
9,0.9534883499145508,0.0010000000474974513,0.14256532490253448,0.9090909361839294,0.1268281638622284
10,0.9534883499145508,0.0010000000474974513,0.11916535347700119,1.0,0.058934662491083145
11,0.9534883499145508,0.0010000000474974513,0.10421151667833328,1.0,0.04452037066221237
12,1.0,0.0010000000474974513,0.01359283085912466,1.0,0.038634564727544785
13,0.9883720874786377,0.0010000000474974513,0.06401167064905167,1.0,0.04423677548766136
